emis_key,school_name
700311373,gp Melodi Primary School
700120758,gp Theo Wassenaar Primary School
700330480,gp Vryheidsmonument Primary School
700400204,gp Somelulwazi Primary School
700321067,gp Moloantoa Primary School
700121004,gp Regents Park Primary School
700331314,gp Seliba Primary School
700320853,gp Letshego Primary School
700210948,gp Nuwe Hoop Special School
700241489,gp Tsosoloso Special School
700311126,gp Isaac Makau Primary School
700111823,gp Elethu Themba Public Intermediate School
700211219,gp Waterkloof Primary School
700251512,gp Khaselihle Combined School
700232462,gp Hennopsrivier Primary School
700132555,gp Molaetsa Primary School
700321299,gp Pohopedi Primary School
700221440,gp Ramahlale Primary School
700121749,gp Sekwati Primary School
700350405,gp Pinegrove Primary School
700252015,gp Tsakani Primary School
700252833,gp Faranani Primary School
700251264,gp Bosele Public Intermediate School
700220418,gp Queenswood Primary School
700150136,gp Bordeaux Primary School
700121863,gp Welizibuko Primary School
700310631,gp Dalpark Primary School
700121079,gp Crestview Primary School
700330365,gp Emfulenipark Primary School
700320143,gp Parksig Primary School
700211771,gp Wagendrift Farm Primary School
700270652,gp Bulelani Primary School
700911112,gp Marokolong Primary School
700121178,gp Townsview Primary School
700400113,gp Moses Kotane Primary School
700232231,gp Seaparankwe Primary School
700311043,gp Enkangala Primary School
700232421,gp Pierneef Primary School
700311407,gp Nchabeleng Primary School
700250696,gp Hekpoort Primary School
700340661,gp Igagasi Primary School
700110304,gp Progress Primary School
700220343,gp Nellie Swart Primary School
700340794,gp Kumalo Primary School
700350033,gp Nigel Intermediate School
700161919,gp Mthimkhulu Primary School
700910568,gp Itireleng Primary School
700121038,gp Robertsham Primary School
700910824,gp Lebogang Primary School
700340273,gp Generaal Alberts Primary School
700210690,gp Elarduspark Primary School
700260018,gp Aston Manor Primary School
700400114,gp Nkone Maruping Primary School
700321133,gp Motsewapele Primary School
700120238,gp Frances Vorwerg Special School
700260984,gp Khatlamping Primary School
700351262,gp Zakheni Primary School (NIGEL)
700220970,gp Pheladi-Nakene Primary School
700140442,gp Dumezweni Primary School
700911120,gp Marula Primary School
700341032,gp Nqubela Primary School (ALBERTON)
700130872,gp Malvern Primary School
700110171,gp Kiasha Park Primary School
700240358,gp Voortrekker-Eeufees Primary School
700400021,gp Emfuleni Primary School
700232256,gp St Annes Primary School
700220137,gp Dirk Postma Reformed Intermediate School
700131466,gp Saxonwold Primary School
700260992,gp Khula Sizwe Primary School
700340950,gp Montic Factory Primary School
700350900,gp Mmuso Primary School
151290,gp Randburg Special School
700110619,gp Ebuhleni Primary School
700260083,gp Cresslawn Primary School
700250720,gp Horison Primary School
700351106,gp Sithembiso Primary School
700400354,gp Katlehong Primary School
700133165,gp Thulasizwe Primary
700160937,gp Germiston Primary School
700141317,gp Thembalethu Primary School (SOWETO)
700110528,gp Atamelang Primary School
700110650,gp Emseni Primary School
700220038,gp Jakaranda Primary School
700320580,gp Ikokobetseng Primary School
700132944,gp Shomang Primary School
700250860,gp Monument Primary School
700351312,gp Zithembeni Primary School
700162057,gp Thabang Primary School (VOSLOORUS)
700400699,gp Rosslyn Primary School
700400214,gp JB Marks Primary School
700400623,gp Basa Primary School
700311068,gp Funukukhanya Primary School
700111419,gp Tshilidzi Primary School
700152165,gp Iphutheng Primary School
700220863,gp Mogale Primary School
700160325,gp Dinwiddie Primary School
700133744,gp Doug Whitehead Special School
700321620,gp Tshemedi Primary School
700140020,gp Bosmont Primary School
700140251,gp Generaal Christiaan De Wet Primary School
700331199,gp Qoqisizwe Primary School
700250662,gp Florida Primary School
700341321,gp Thabotona Farm Primary School
700131953,gp Bethany Combined School
700400154,gp Lotus Gardens Primary School
700111278,gp Sibongile Primary School
700261438,gp Umthambeka Primary School
700131276,gp Hesperus Primary School
700221168,gp Umthombo Primary School
700210815,gp Swartkop Primary School
130534,gp Hope Special School
700210682,gp Du Preez van Wyk Primary School
700400206,gp Gideon Rambuwani Combined School
700161950,gp New Comet Mine Primary School
700132506,gp Moetapele Primary School
700241158,gp Refithlile Pele No 1 Primary School
700241638,gp Die Poort Primary School
700341222,gp Sekgutlong Primary School
700162347,gp Phumula Primary School
700341883,gp Thembalethu Primary School (GERMISTON)
700252817,gp Lewisham Primary School
700340141,gp Glenview Primary School
700133470,gp Crown Reef Mine Primary School
700400421,gp Lion Park Primary School
